"id_number";"log_type";"data";"server_datetime";"FK_USUARIO_nickname"
"134";"paso_tour";"{""id_desafio"":4,""data"":{""seccion"":""detalle_recurso""}}";"2019-10-11 17:25:04";"Indu12"
"135";"click_recomendar";"{""id_desafio"":4,""data"":{""texto"":""recomendado"",""id_SERP"":196}}";"2019-10-11 17:25:06";"Indu7"
"136";"paso_tour";"{""id_desafio"":4,""data"":{""seccion"":""recurso_acciones""}}";"2019-10-11 17:25:07";"Indu12"
"137";"click_guardar";"{""id_desafio"":4,""data"":{""texto"":""guardado"",""id_SERP"":195}}";"2019-10-11 17:25:09";"Indu7"
"138";"click_recomendar";"{""id_desafio"":4,""data"":{""texto"":""recomendado"",""id_SERP"":194}}";"2019-10-11 17:25:10";"Indu7"
"139";"cerrar_tour";"{""id_desafio"":4}";"2019-10-11 17:25:11";"Indu12"
"140";"click_recomendar";"{""id_desafio"":4,""data"":{""texto"":""recomendado"",""id_SERP"":193}}";"2019-10-11 17:25:11";"Indu7"
"141";"click_recomendar";"{""id_desafio"":4,""data"":{""texto"":""recomendado"",""id_SERP"":192}}";"2019-10-11 17:25:12";"Indu7"
"142";"click_recomendar";"{""id_desafio"":4,""data"":{""texto"":""recomendado"",""id_SERP"":191}}";"2019-10-11 17:25:13";"Indu7"
"143";"click_guardar";"{""id_desafio"":4,""data"":{""texto"":""guardado"",""id_SERP"":198}}";"2019-10-11 17:25:16";"Indu12"
"144";"click_pagina";"{""id_desafio"":4,""data"":{""pagina"":2}}";"2019-10-11 17:25:16";"Indu7"
"145";"click_recomendar";"{""id_desafio"":4,""data"":{""texto"":""recomendado"",""id_SERP"":198}}";"2019-10-11 17:25:18";"Indu12"
"146";"click_recomendar";"{""id_desafio"":4,""data"":{""texto"":""recomendado"",""id_SERP"":197}}";"2019-10-11 17:25:20";"Indu12"
"147";"click_guardar";"{""id_desafio"":4,""data"":{""texto"":""guardado"",""id_SERP"":197}}";"2019-10-11 17:25:21";"Indu12"
"148";"click_SERP_ver";"{""id_desafio"":4,""data"":{""url"":""https://josmanuelfidalgo.blogspot.com/2011/08/el-abismo-challenger-en-la-fosa-de-las.html"",""id_SERP"":197}}";"2019-10-11 17:25:23";"Indu12"
"149";"click_entrar";"{""id_desafio"":1}";"2019-10-11 17:25:23";"usuario1"
"150";"click_entrar_confirmado";"{""id_desafio"":1}";"2019-10-11 17:25:24";"usuario1"
"151";"click_pagina";"{""id_desafio"":4,""data"":{""pagina"":3}}";"2019-10-11 17:25:25";"Indu7"
"152";"cerrar_pagina";"53ba68ae-";"2019-10-11 17:25:26";"Indu12"
"153";"click_pagina";"{""id_desafio"":4,""data"":{""pagina"":4}}";"2019-10-11 17:25:26";"Indu7"
"154";"click_pagina";"{""id_desafio"":4,""data"":{""pagina"":5}}";"2019-10-11 17:25:27";"Indu7"
"155";"click_iniciar_desafio";"{""id_desafio"":1}";"2019-10-11 17:25:27";"usuario1"
"156";"click_iniciar_desafio_confirmado";"{""id_desafio"":1}";"2019-10-11 17:25:28";"usuario1"
"157";"click_ver_ocultar_desafio";"{""id_desafio"":4,""data"":""ver_desafio""}";"2019-10-11 17:25:28";"indu11"
"158";"login";;"2019-10-11 17:25:29";"indu8"
"159";"click_finalizar_desafio";"{""id_desafio"":4}";"2019-10-11 17:25:29";"Indu7"
"160";"click_recomendar";"{""id_desafio"":4,""data"":{""texto"":""recomendado"",""id_SERP"":199}}";"2019-10-11 17:25:31";"Indu12"
"161";"click_enviar_pretest";"{""id_desafio"":1,""dato"":{""id_pretest"":1,""respuesta"":""3"",""tipo"":""checkbox""}}";"2019-10-11 17:25:35";"usuario1"
"162";"click_enviar_pretest";"{""id_desafio"":1,""dato"":{""id_pretest"":2,""respuesta"":""-"",""tipo"":""text""}}";"2019-10-11 17:25:35";"usuario1"
"163";"click_finalizar_desafio_confirmado";"{""id_desafio"":4}";"2019-10-11 17:25:35";"Indu7"
"164";"click_enviar_pretest_confirmado";;"2019-10-11 17:25:35";"usuario1"
"165";"click_SERP_ver";"{""id_desafio"":4,""data"":{""url"":""https://www.euston96.com/fosa-de-las-marianas/"",""id_SERP"":200}}";"2019-10-11 17:25:35";"indu11"
"166";"pagination";"{""id_desafio"":1,""data"":{""pagina"":1}}";"2019-10-11 17:25:35";"usuario1"
"167";"paso_tour";"{""id_desafio"":1,""data"":{""seccion"":""titulo_desafio""}}";"2019-10-11 17:25:36";"usuario1"
"168";"click_entrar";"{""id_desafio"":1}";"2019-10-11 17:25:36";"indu10"
"169";"click_recomendar";"{""id_desafio"":4,""data"":{""texto"":""recomendado"",""id_SERP"":200}}";"2019-10-11 17:25:38";"Indu12"
"170";"click_recomendar";"{""id_desafio"":4,""data"":{""texto"":""recomendado"",""id_SERP"":196}}";"2019-10-11 17:25:41";"Indu12"
"171";"click_recomendar";"{""id_desafio"":4,""data"":{""texto"":""recomendado"",""id_SERP"":195}}";"2019-10-11 17:25:42";"Indu12"
"172";"click_recomendar";"{""id_desafio"":4,""data"":{""texto"":""recomendado"",""id_SERP"":193}}";"2019-10-11 17:25:45";"Indu12"
"173";"click_ver_ocultar_desafio";"{""id_desafio"":4,""data"":""esconder_desafio""}";"2019-10-11 17:25:46";"Indu13"
"174";"paso_tour";"{""id_desafio"":1,""data"":{""seccion"":""detalle_desafio_""}}";"2019-10-11 17:25:46";"usuario1"
"175";"click_entrar_confirmado";"{""id_desafio"":1}";"2019-10-11 17:25:46";"indu10"
"176";"paso_tour";"{""id_desafio"":4,""data"":{""seccion"":""detalle_desafio_""}}";"2019-10-11 17:25:47";"indu3"
"177";"click_ver_ocultar_desafio";"{""id_desafio"":4,""data"":""ver_desafio""}";"2019-10-11 17:25:47";"Indu13"
"178";"click_iniciar_desafio";"{""id_desafio"":1}";"2019-10-11 17:25:49";"indu10"
"179";"click_iniciar_desafio_confirmado";"{""id_desafio"":1}";"2019-10-11 17:25:51";"indu10"
"180";"click_enviar_posttest";"{""id_desafio"":4,""dato"":{""id_pretest"":3,""respuesta"":""3"",""tipo"":""checkbox""}}";"2019-10-11 17:25:52";"Indu7"
"181";"click_enviar_posttest";"{""id_desafio"":4,""dato"":{""id_pretest"":4,""respuesta"":""fosa\nde\nlas\nmarianas"",""tipo"":""text""}}";"2019-10-11 17:25:52";"Indu7"
"182";"click_enviar_posttest_confirmado";;"2019-10-11 17:25:53";"Indu7"
"183";"paso_tour";"{""id_desafio"":4,""data"":{""seccion"":""veces_recomendado""}}";"2019-10-11 17:25:53";"indu3"
"184";"click_entrar";"{""id_desafio"":1}";"2019-10-11 17:25:56";"indu8"
"185";"paso_tour";"{""id_desafio"":1,""data"":{""seccion"":""veces_recomendado""}}";"2019-10-11 17:25:58";"usuario1"
"186";"click_entrar_cancelado";"{""id_desafio"":1}";"2019-10-11 17:25:59";"indu8"
"187";"click_recomendar";"{""id_desafio"":4,""data"":{""texto"":""recomendado"",""id_SERP"":191}}";"2019-10-11 17:25:59";"Indu12"
"188";"paso_tour";"{""id_desafio"":4,""data"":{""seccion"":""detalle_recurso""}}";"2019-10-11 17:26:00";"indu3"
"189";"click_SERP_ver";"{""id_desafio"":4,""data"":{""url"":""https://es.wikipedia.org/wiki/Abismo_de_Challenger"",""id_SERP"":191}}";"2019-10-11 17:26:00";"Indu12"
"190";"paso_tour";"{""id_desafio"":1,""data"":{""seccion"":""detalle_recurso""}}";"2019-10-11 17:26:06";"usuario1"
"191";"click_SERP_ver";"{""id_desafio"":4,""data"":{""url"":""https://www.youtube.com/watch?v=cEiXGJcGlB8"",""id_SERP"":193}}";"2019-10-11 17:26:06";"Indu12"
