"id_number";"log_type";"data";"server_datetime";"FK_USUARIO_nickname"
"3508";"click_enviar_posttest";"{""id_desafio"":2,""dato"":{""id_pretest"":4,""respuesta"":""crimen\ntipos\nincidencia\nmetodo\nestrategia\neficiencia\ncifras\n"",""tipo"":""text""}}";"2019-10-15 15:23:18";"usuario74"
"3509";"click_guardar";"{""id_desafio"":2,""data"":{""texto"":""guardado"",""id_SERP"":83}}";"2019-10-15 15:23:18";"usuario80"
"3510";"click_enviar_posttest_confirmado";;"2019-10-15 15:23:19";"usuario74"
"3511";"click_guardar";"{""id_desafio"":1,""data"":{""texto"":""guardado"",""id_SERP"":19}}";"2019-10-15 15:23:20";"usuario92"
"3512";"click_recomendar";"{""id_desafio"":1,""data"":{""texto"":""recomendado"",""id_SERP"":19}}";"2019-10-15 15:23:20";"usuario92"
"3513";"click_recomendar";"{""id_desafio"":3,""data"":{""texto"":""recomendado"",""id_SERP"":103}}";"2019-10-15 15:23:20";"usuario86"
"3514";"click_SERP_titulo";"{""id_desafio"":3,""data"":{""url"":""http://www.automotriz.mobi/coches/cars-trucks-autos/sedans/136867.html"",""id_SERP"":139}}";"2019-10-15 15:23:20";"usuario50"
"3515";"click_pagina";"{""id_desafio"":2,""data"":{""pagina"":3}}";"2019-10-15 15:23:21";"usuario80"
"3516";"click_guardar";"{""id_desafio"":3,""data"":{""texto"":""guardado"",""id_SERP"":105}}";"2019-10-15 15:23:21";"usuario82"
"3517";"click_recomendar";"{""id_desafio"":3,""data"":{""texto"":""recomendado"",""id_SERP"":105}}";"2019-10-15 15:23:22";"usuario82"
"3518";"click_recomendar";"{""id_desafio"":1,""data"":{""texto"":""recomendado"",""id_SERP"":18}}";"2019-10-15 15:23:23";"usuario92"
"3519";"click_enviar_pretest";"{""id_desafio"":2,""dato"":{""id_pretest"":1,""respuesta"":""3"",""tipo"":""checkbox""}}";"2019-10-15 15:23:23";"usuario109"
"3520";"click_enviar_pretest";"{""id_desafio"":2,""dato"":{""id_pretest"":2,""respuesta"":""mejorar la política y la corrupción "",""tipo"":""text""}}";"2019-10-15 15:23:23";"usuario109"
"3521";"click_guardar";"{""id_desafio"":1,""data"":{""texto"":""guardado"",""id_SERP"":18}}";"2019-10-15 15:23:23";"usuario92"
"3522";"click_recomendar";"{""id_desafio"":3,""data"":{""texto"":""recomendado"",""id_SERP"":104}}";"2019-10-15 15:23:24";"usuario82"
"3523";"click_pagina";"{""id_desafio"":3,""data"":{""pagina"":5}}";"2019-10-15 15:23:24";"usuario81"
"3524";"click_recomendar";"{""id_desafio"":3,""data"":{""texto"":""recomendado"",""id_SERP"":104}}";"2019-10-15 15:23:24";"usuario86"
"3525";"click_guardar";"{""id_desafio"":3,""data"":{""texto"":""guardado"",""id_SERP"":104}}";"2019-10-15 15:23:24";"usuario82"
"3526";"click_recomendar";"{""id_desafio"":3,""data"":{""texto"":""NO_recomendado"",""id_SERP"":104}}";"2019-10-15 15:23:24";"usuario86"
