"28","Info VIH - Home - Cruz Roja","Os damos la bienvenida a la web del Servicio Multicanal de Información y Prevención del VIH y sida y otras Infecciones de Transmisión Sexual (ITS) de Cruz Roja Española y el Ministerio de Sanidad, Consumo y Bienestar social. Más información &gt;&gt;","http://www.cruzroja.es/principal/web/info-vih","53b7f0f8-","0","1","C"
"29","Qué es el VIH | Virus Inmunodeficiencia Humana | Infosalus","VIH ¿Qué es el VIH? Es una enfermedad infecciosa causada por un agente transmisible, el virus de la inmunodeficiencia humana (VIH). En ausencia de tratamiento efectivo, el VIH produce un estado ...","https://www.infosalus.com/enfermedades/infecciosas/vih-sida/que-es-vih-sida-95.html","53b80f69-","0","1","C"
"30","¿Cuáles son los síntomas del VIH/SIDA?","Como sucede en el caso de muchas enfermedades de transmisión sexual (), los síntomas del VIH en los hombres son similares a los síntomas que presentan en todos los géneros.El SIDA (síndrome de inmunodeficiencia adquirida) es la etapa más avanzada del virus del VIH.","https://www.plannedparenthood.org/es/temas-de-salud/enfermedades-de-transmision-sexual-ets/vih-sida/cuales-son-los-sintomas-del-vihsida","53b81648-","0","1","C"
"31","Casos de VIH en Chile aumentan un 45% entre 2010 y 2015 ...","Casos de VIH en Chile aumentan un 45% entre 2010 y 2015. Según cifras del Instituto de Salud Pública, los casos positivos confirmados en mayores de 13 años subieron de 2.968 en el año 2010 a 4.291 en el 2015. Arica y Parinacota, Tarapacá y la Región Metropolitana tienen las tasas más altas.","https://www.t13.cl/noticia/nacional/casos-vih-chile-aumentan-45-2010-y-2015","53b81931-","0","1","D"
"32","VIH Sida en Chile: Cifras del Minsal indican que casos ...","VIH Sida en Chile: Cifras del Minsal ... Un total de 5.816 casos de VIH Sida fueron constatados en nuestro país durante ... Toda vez que entendemos que en Chile 45 mil personas estaban ...","https://www.24horas.cl/nacional/vih-sida-en-chile-cifras-del-minsal-indican-que-casos-crecieron-96-en-siete-anos-2684673","53b81bc7-","0","1","D"
"33","Informe casi triplica porcentaje estimado de personas con ...","Informe casi triplica porcentaje estimado de personas con VIH en Chile. Autor: Cecilia Yáñez. ... para combatir el VIH es la realización de test rápidos para así abarcar a la mayor cantidad de personas. A fines de 2017, el Hospital Clínico de la U. de Chile inició una campaña de test rápidos a sus estudiantes y población general, como ...","https://www.latercera.com/nacional/noticia/informe-casi-triplica-porcentaje-estimado-personas-vih-chile/291511/","53b82171-","0","1","D"
"34","El número de infectados por el virus del sida en el mundo ...","Con este dato el número de personas que convive con el VIH en el mundo asciende a 40,3 millones de personas, el doble que hace diez años. ... Chile y Cuba supera el 80%"" de los afectados y se ha ...","https://elpais.com/sociedad/2005/11/21/actualidad/1132527601_850215.html","53b824ff-","0","1","D"
"35","Sida: Situación en Chile - Profesor en línea","En Chile la vigilancia epidemiológica pasiva del VIH/SIDA, por notificación obligatoria de los casos de SIDA y personas VIH+ asintomáticas (portadoras) diagnosticadas en el país, permite caracterizar la epidemia de SIDA en el país y se muestra en los siguientes datos.","http://www.profesorenlinea.cl/Ciencias/SidaChile.htm","53b827c8-","0","1","D"
"36","Corporación Sida Chile asegura que contagios de VIH en ...","Corporación Sida Chile asegura que contagios de VIH en jóvenes aumentaron un 66% entre 2010 y 2016. De acuerdo a las cifras entregadas por la entidad a la Comisión de Salud de la Cámara, se pasó de 2.968 casos diagnosticados a 4.927 durante este periodo.","http://www.t13.cl/noticia/nacional/corporacion-sida-chile-asegura-contagios-vih-jovenes-aumentaron-66-2010-y-2016","53b82a1e-","0","1","D"
"37","La infección por VIH en nuestro ... - Universidad de Chile","En Chile más hay de 30 mil personas diagnosticadas con VIH, y se estima que entre 20 y 25 mil personas podrían estar infectadas, sin diagnóstico.En este contexto, entre 1999 y 2013 ha sido en la población más joven donde proporcionalmente ha aumentado de manera más importante el contagio: en el grupo entre 15 y 19 años el alza ha sido de un 125 por ciento, mientras en los jóvenes entre ...","http://www.uchile.cl/noticias/124942/la-infeccion-por-vih-en-chile-es-una-epidemia-que-no-esta-controlada","53b82cca-","0","1","D"
"38","Chile es el país en que más aumentó el número de casos ...","El informe mundial de Onusida “Ending Aids 2017” dado a conocer ayer reveló buenas noticias: las muertes relacionadas con el virus VIH bajaron a la mitad desde el año 2005 y por primera vez en la historia, el 53% de los pacientes con el virus tienen acceso a tratamiento antirretroviral y el número de nuevas infecciones está en caída.","https://www.latercera.com/noticia/chile-casos-vih-latinoamerica/","53b85014-","0","1","D"
"39","Corporación Sida Chile","CARTA DE SOCHINF-SIDA CHILE EN EL MERCURIO 22 JUNIO 2017 ... del Sistema Nacional de Servicios de Salud Con consulta a Coordinadora Nacional de Agrupaciones de Personas Viviendo con VIH, VIVO POSITIVO. ... se calcula que en Chile la mitad de las personas que está infectada no ha sido diagnosticada y por lo tanto no está en control y tratamiento.","http://www.sidachile.cl/contenido/index.php","53b8570f-","0","1","D"
"40","Aumento de VIH en Chile: ""Este es un problema que es de ...","Según cifras del Instituto de Salud Pública, la cantidad es más del doble que la diagnosticada hace 9 años. ... Aumento de VIH en Chile: ""Este es un problema que es de Chile y que está en la ...","https://www.elmostrador.cl/agenda-pais/2019/02/15/aumento-de-vih-en-chile-este-es-un-problema-que-es-de-chile-y-que-esta-en-la-base-de-no-tener-educacion-sexual/","53b85c9d-","0","1","D"
"41","Sida: Situación en Chile - Profesor en línea","Las personas que viven con el virus del Sida tienen derecho a informaciones específicas sobre su condición como tales. 2.Toda persona que vive con el virus del Sida tiene derecho a la asistencia y al tratamiento, suministrados ambos sin ninguna restricción y garantizando su mejor calidad de vida. 3.","http://www.profesorenlinea.cl/Ciencias/SidaChile.htm","53b868d7-","0","1","E"
"42","VIH Sida en Chile: Cifras del Minsal indican que casos ...","VIH Sida en Chile: Cifras del Minsal ... El grupo de riesgo más afectado por la estadística es el de personas que tienen entre 15 y 25 años de edad. La cifra (96%) supera ampliamente el 66% ...","https://www.24horas.cl/nacional/vih-sida-en-chile-cifras-del-minsal-indican-que-casos-crecieron-96-en-siete-anos-2684673","53b86b00-","0","1","E"
"43","¿cual es el porcentaje de personas con sida en el mundo ...","¿cual es el porcentaje de personas con sida en el mundo? ... 32 millones d personas tienen VIH, y unas 12-15 millones tienes sida, otro dato, no importante pro si relevante sq USA, tiene l mayor numero d contagiados n l mundo, con aproximadamente 30 mil contagios x dia y un numero d muertes x sida casi = x dia ... ¿Cuantos días se tardan en ...","https://es.answers.yahoo.com/question/index?qid=20120409102220AAll31P","53b86d11-","0","1","E"
"44","Sida Chile","¿Cuándo una persona se considera que tiene SIDA? Cuando la Infección por VIH ha provocado un deterioro importante de su inmunidad, en las etapas más avanzadas de la infección por el VIH; momento en el que se manifiesta alguna de las más de 20 infecciones oportunistas o cánceres relacionados con el VIH.","http://sidachile.cl/contenido/vih-sida.php","53b8729d-","0","1","E"
"45","¿ Cuantas Personas Hay en el Mundo ? y Cuantas Tienen SIDA ...","HOlakeria saber si alguien sabe cuantas personas tienen en total el planeta tierra y cual es elporcentaje de enfermos de SIDA si alguien sabe de antemano MUCHAS GRACIAS","https://espanol.answers.yahoo.com/question/index?qid=20080623151741AAxhOxj&sort=O","53b874fb-","0","1","E"
"46","Trasplantes de órganos: Chile lidera eficiencia de ...","Entre 6 y 8 personas por cada millón son donantes en Chile, una cifra baja comparada con el resto de América Latina. Sin embargo, Chile lidera la utilización de órganos en la región. Las autoridades asumen que debe mejorar la coordinación entre los donantes y sus familias, quienes actúan como garantes de la decisión.","https://www.t13.cl/noticia/nacional/trasplantes-de-organos-chile-lidera-eficiencia-de-utilizacion-de-organos-en-la-region","53b87715-","0","1","E"
"47","¿Cuantas personas hay en el mundo exactamente? 2018","Una de las dudas que más personas se plantean relativo a la demografía y a conocer las personas que viven en el mundo realmente, es algo que vale la pena analizar ya que muchas veces esos factores pueden ser determinantes para entender nuestra realidad, así como acercarnos un poco a todo lo relativo que tiene nuestro planeta, de esta manera, vale la pena activar todos nuestros conocimientos ...","https://ciudades30.com/demografia/cuantas-personas-hay-en-el-mundo-exactamente-2015/","53b87c9f-","0","1","E"
"48","¿Cuánto dinero hay que tener para ser parte del 1% más ...","Contrario a lo que se podría pensar, no hace falta ser millonario para ser parte del 1% más pudiente de la humanidad. Un dato que revela que la riqueza está concentrada en un segmento todavía ...","https://www.bbc.com/mundo/noticias/2015/01/150119_desigualdad_riqueza_mundial_uno_por_ciento_lf","53b88067-","0","1","E"
"49","¿cuantas personas de 100 personas tienen sida? | Yahoo ...","Mejor respuesta: Hola....No tengo ni idea. Ten por seguro que la mayoria de las personas que estn infectadas no lo saben..... O sea, que hablamos de las estdisticas de sanida, puesto que es una enfermedad que hay que ""declararla""..... Bajo mi punto de vista estaremos en un tres o un cuatro por ciento.","https://espanol.answers.yahoo.com/question/index?qid=20090310142333AAGxeLJ","53b88574-","0","1","E"
"50","Informe de Inclusión Financiera en Chile - 2016","Financiera en Chile El presente informe tiene como objetivo contribuir a la medición y evaluación de la ... et al. (2012) las personas excluidas financieramente tienen mayores posibilidades de ser incluidas en economías con menores costos y mayor penetración de servicios financieros. ... posicionar a Chile a nivel internacional en cuanto a ...","http://www.sbif.cl/sbifweb3/internet/archivos/publicacion_11243.pdf","53b8878f-","1","1","E"
"51","El crimen en Chile (1569-1930) - Memoria Chilena ...","El crimen en Chile (1569-1930) Crimen y criminales En cada época histórica la sensación de inseguridad se ha manifestado con distintas intensidades. La manera de narrar y pensar la criminalidad ha ido cambiando a lo largo de los años, pero siempre se ha mantenido un especial interés de la sociedad por leer y conocer en profundidad los casos más impactantes.","http://www.memoriachilena.gob.cl/602/w3-article-100603.html","53b88ca8-","11","2","A"
"52","El crimen organizado en Chile: Una aproximación ...","El crimen organizado en Chile. Una aproximación criminológica al perfil del delincuente a través de un estudio a una muestra no representativa de condenados por delitos de tráfico de estupefacientes * Organized crime in Chile. A criminological approach to profile of offenders through a study of a non-representative sample of offenders ...","https://scielo.conicyt.cl/scielo.php?script=sci_arttext&pid=S0718-33992015000100002","53b88ecf-","10","2","A"
"53","Los crímenes que han marcado la historia policial chilena ...","El crimen de Lolol, y la posibilidad de haber descubierto a un asesino en serie, se suma a la lista mostrado casos que han impactado a la opinión pública chilena. ... Noticias de Chile y el ...","https://www.24horas.cl/nacional/los-crimenes-que-han-marcado-la-historia-policial-chilena-220642","53b89457-","1","2","A"
"54","Fiscalía de Chile | Áreas de Persecución | Crimen ...","El Crimen organizado no es un delito en sí mismo, se trata de una denominación genérica que se les da a aquellos delitos en los que actúan grupos de personas en forma organizada. En nuestro país el delito que sanciona este tipo de conductas es la asociación ilícita, la que consiste en un grupo de sujetos (dos o más personas) que se ...","http://www.fiscaliadechile.cl/Fiscalia/areas/organizado.jsp","53b896b8-","0","2","A"
"55","Cibercrimen - pdichile.cl","Brigadas Investigadoras del Cibercrimen. Nacen como una respuesta de la PDI al creciente desarrollo de la criminalidad informática en Chile y de la necesidad de contar con unidades dedicadas a la investigación y solución de los problemas que enfrenta la ciudadanía en el mundo virtual globalizado.","http://www.pdichile.cl/instituci%C3%B3n/unidades/cibercrimen","53b89c21-","0","2","A"
"56","Chile Crime Stats: NationMaster.com","Serious crime is not as prevalent in Chile as it is in other South American countries, with just 183 manslaughters committed in 2002 and an overall homicide per capita rate of just 1.7 per 100,000 of the population, a rate that ranks Chile 28th in the world and quite some distance behind South Africa (125) and Colombia (114). The country has the 16th highest total prisoner population globally ...","https://www.nationmaster.com/country-info/profiles/Chile/Crime","53b89e33-","0","2","A"
"57","Macabro crimen en Santiago centro: prisión preventiva para ...","Aton Chile. Macabro crimen en Santiago centro: prisión preventiva para asesino de conserje que impidió femicidio El trabajador forcejeó con el atacante y avisó a la mujer, quien logró escapar ...","https://www.publimetro.cl/cl/noticias/2019/04/07/homicidio-conserje-intento-femicidio-santiago.html","53b8a327-","0","2","A"
"58","Noticias sobre crimen organizado en Chile","Perfil de Chile. A pesar de su cercanía a los países andinos productores de cocaína, Chile no ha sufrido los efectos negativos del crimen organizado como los han padecido otras naciones de la región. De hecho, es uno de los países más seguros de Latinoamérica.","https://es.insightcrime.org/noticias-sobre-crimen-organizado-en-chile/","53b8a53e-","0","2","A"
"59","¿Más delincuencia en Chile? Los datos de la percepción ...","Pero, a pesar de que queda mucho para erradicar la delincuencia en Chile, las cifras indican que en los últimos años ha ido bajando la tasa de delitos de mayor connotación social. ¿Qué son los delitos de mayor connotación social? Los robos violentos, hurtos, lesiones, violaciones, homicidios, entre otros.","https://www.eldefinido.cl/actualidad/pais/7806/Mas-delincuencia-en-Chile-Los-datos-de-la-percepcion-versus-la-realidad/","53b8a7bd-","0","2","A"
"60","Galería: Estos son los 10 crímenes ... - Publimetro Chile","Galería: Estos son los 10 crímenes más macabros ocurridos en Chile Cada cierto tiempo se reportan en el país crímenes que no dejan a nadie indiferente, puede ser por la planificación con la ...","https://www.publimetro.cl/cl/nacional/2014/11/13/galeria-estos-son-10-crimenes-mas-macabros-ocurridos-chile.html","53b8acd2-","0","2","A"
"61","Para reducir la delincuencia y el crimen. - LatamIsrael","Para reducir la delincuencia y el crimen. 27/11/2018, 7:05 am 37 Views 1 Comment. 174. VECES COMPARTIDO. ... demostró que el crimen en esa ciudad se concentra de manera similar. Sólo el 5 por ciento de los segmentos de la calle de Tel Aviv producen el 50 por ciento de la delincuencia, con sólo el 1 por ciento de los segmentos de calle que ...","https://latamisrael.com/como-reducir-la-delincuencia/","53b8aecc-","0","2","B"
"62","CORRUPCION EN CHILE Y EL MUNDO: &#39;Reducir el crimen es una ...","Pero reducir el crimen era algo que la gente creía que nunca se podría hacer en la ciudad de Nueva York. Llegó a ser una de las más inseguras del mundo y hoy es una de las más seguras de los EE. UU. ¡Usted logró reducir el crimen un 65 por ciento y el asesinato en 70 por ciento!","https://corrupcion-chile.blogspot.com/2011/08/reducir-el-crimen-es-una-cuestion-de.html","53b8b3c1-","0","2","B"
"63","Delincuencia en Chile: diagnóstico y propuestas","En el siguiente gráfico se presenta la evolución de la tasa de victimización anual global por hogar en Chile entre 2005 y 2011. Como se observa, salvo el año 2008, en que se registró una leve alza, y el año 2011, que se compara con el año en que todas los registros y estadísticas se comportan de forma","http://www.95propuestas.cl/site/wp-content/uploads/2013/05/delincuencia-en-chile-diagnostico-y-propuestas-catalina-mertz.pdf","53b8b5d0-","0","2","B"
"64","¿Cómo reducir el crimen? - minterior.gub.uy","En la mañana de este miércoles 29 de abril comenzó el seminario internacional “Cómo reducir el crimen: desafíos desde el sur” organizado por el Ministerio del Interior y el Banco Interamericano de Desarrollo.","https://www.minterior.gub.uy/index.php/2013-06-17-14-41-56/2012-11-13-13-08-52/78-noticias/ultimas-noticias/2749-como-reducir-el-crimen","53b8bad5-","0","2","B"
"65","Crimen organizado: la amenaza al sistema político chileno ...","Que hoy no exista una penetración fuerte del crimen organizado en Chile no garantiza, necesariamente, que en el futuro cercano no se generen más oportunidades para la expansión de redes criminales que operan con mucho éxito (y por tanto, generando muchos recursos de poder) en el futuro.","https://ciperchile.cl/2017/02/27/crimen-organizado-la-amenaza-al-sistema-politico-chileno-que-se-ignora/","53b8bcc9-","0","2","B"
"66","Giuliani: ""Si la voluntad política es reducir el crimen ...","El ex alcalde de Nueva York dijo que la delincuencia en Chile ha subido ""y de la peor forma, con violencia"" Giuliani: ""Si la voluntad política es reducir el crimen, todos se enfocarán en aquello"" viernes, 17 de junio de 2016","http://www.economiaynegocios.cl/noticias/noticias.asp?id=262813","53b8c231-","0","2","B"
"67","UNIVERSIDAD DE CHILE - Repositorio Académico","en menores de edad, en contextos como el chileno. En este sentido, se estudia la relación entre resultados educacionales y tasas de criminalidad adolescente en Chile mediante una estimación por mínimos cuadrados ordinarios, utilizando una adaptación del clásico marco teórico del crimen.","http://repositorio.uchile.cl/tesis/uchile/2011/ec-param_f/pdfAmont/ec-param_f.pdf","53b8c417-","0","2","B"
"68","El crimen en Chile (1569-1930) - Memoria Chilena ...","El crimen en Chile (1569-1930) Crimen y criminales En cada época histórica la sensación de inseguridad se ha manifestado con distintas intensidades. La manera de narrar y pensar la criminalidad ha ido cambiando a lo largo de los años, pero siempre se ha mantenido un especial interés de la sociedad por leer y conocer en profundidad los casos más impactantes.","http://www.memoriachilena.gob.cl/602/w3-article-100603.html","53b8c91f-","0","2","B"
"69","Noticias sobre crimen organizado en Chile","Perfil de Chile. A pesar de su cercanía a los países andinos productores de cocaína, Chile no ha sufrido los efectos negativos del crimen organizado como los han padecido otras naciones de la región. De hecho, es uno de los países más seguros de Latinoamérica.","https://es.insightcrime.org/noticias-sobre-crimen-organizado-en-chile/","53b8cb3f-","0","2","B"
"70","Tecnología contra el crimen: Entusiasmo con cautela y ...","Es la conocida bala mágica que todo lo cura. Ustedes, como expertos en el tema, saben muy bien que el crimen es un fenómeno complejo, que requiere de soluciones en muchos frentes. De poca utilidad es una policía eficiente que usa tecnología contra el crimen si las cárceles están desbordadas y el sistema judicial no funciona como debería.","https://blogs.iadb.org/seguridad-ciudadana/es/tecnologia-contra-el-crimen-entusiasmo-con-criterio/","53b8cd43-","0","2","B"
